CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
230001948,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,200 BLOCK N MAIN ST,ANN ARBOR,2023-01-15 02:35:00,ASSAULT - SIMPLE,-83.74881859899995,42.282899600000064
230001676,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,3200 BLOCK BOARDWALK DR,ANN ARBOR,2023-01-13 11:23:00,LARCENY - FROM AUTO (LFA),-83.73593439999996,42.24093140000008
230001937,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,500 BLOCK E LIBERTY ST,ANN ARBOR,2023-01-15 01:09:00,PUBLIC PEACE,-83.74242869899996,42.279175801000065
230001875,SHOPLIFTING,3073,RETAIL FRAUD THEFT 1ST DEGREE,A,400 BLOCK S MAPLE RD,ANN ARBOR,2023-01-14 18:26:00,LARCENY - RETAIL FRAUD,-83.78214749999995,42.277596800000026
230001856,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3200 BLOCK E EISENHOWER PKWY,ANN ARBOR,2023-01-14 15:14:00,ASSAULT - SIMPLE,-83.71435100099995,42.24358840000008
230002009,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-15 17:04:00,ASSAULT - SIMPLE,-83.75166069999995,42.28180800000007
230002089,IDENTITY THEFT FRAUD,2610,PERS IDENT INFO OBT/POSS/TRANS W/INTENT TO COMMIT IDENTITY THEFT,A,300 BLOCK S MAIN ST,ANN ARBOR,2023-01-14 17:17:30,FRAUD,-83.74881490099995,42.27946360100003
230001588,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,1100 BLOCK WHITE ST,ANN ARBOR,2023-01-11 20:07:30,MOTOR VEHICLE THEFT / FRAUD,-83.73956549999997,42.26797189900003
230002108,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,100 BLOCK W HURON ST,ANN ARBOR,2023-01-16 11:10:00,PUBLIC PEACE,-83.74933719999996,42.28175809900006
230002108,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,100 BLOCK W HURON ST,ANN ARBOR,2023-01-16 11:10:00,TRESPASSING / INVASION OF PRIVACY,-83.74933719999996,42.28175809900006
230002085,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,3000 BLOCK SIGNATURE BLVD,ANN ARBOR,2023-01-15 11:45:00,BURGLARY - ALL OTHER,-83.75408769899997,42.24017520000007
231000046,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,100 BLOCK ADAMS ST,ANN ARBOR,2023-01-15 18:09:00,LARCENY - ALL OTHER,-83.74889520099998,42.27224090000004
230002260,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,500 BLOCK E ANN ST,ANN ARBOR,2023-01-17 04:15:00,LARCENY - FROM AUTO (LFA),-83.74238719999994,42.282088499000054
230001350,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2900 BLOCK CASCADE DR,ANN ARBOR,2023-01-11 06:05:00,ASSAULT - SIMPLE,-83.70202579899995,42.24559860000005
230002092,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-16 09:10:00,ASSAULT - SIMPLE,-83.75166069999995,42.28180800000007
231000043,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,600 BLOCK E HURON ST,ANN ARBOR,2023-01-13 12:00:00,LARCENY - ALL OTHER,-83.74199299899999,42.28154919900004
230001860,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-14 15:50:00,ASSAULT - AGGRAVATED,-83.75166069999995,42.28180800000007
231000050,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK LAKE VILLAGE DR,ANN ARBOR,2023-01-17 02:30:00,LARCENY - FROM AUTO (LFA),-83.74489759899996,42.25078540000004
230002118,SEXUAL ASSAULT WITH AN OBJECT,1176,CSC 3RD DEGREE -PENETRATION OBJECT,A,500 BLOCK E LIBERTY ST,ANN ARBOR,2023-01-13 23:30:00,SEX OFFENSES - CSC,-83.74242869899996,42.279175801000065
231000047,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,800 BLOCK MCKINLEY AVE,ANN ARBOR,2023-01-14 11:00:00,LARCENY - FROM AUTO (LFA),-83.73882159999994,42.26783210000008
231000044,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,300 BLOCK PACKARD ST,ANN ARBOR,2023-01-16 03:30:00,DAMAGE TO PROPERTY,-83.74535399999996,42.27532710000003
230002152,ROBBERY,1203,ROBBERY - BUSINESS - STRONG ARM,A,2400 BLOCK W STADIUM BLVD,ANN ARBOR,2023-01-15 17:19:30,ROBBERY,-83.77981800099997,42.27878560000005
230002137,ALL OTHER,8011,ACCIDENT - FAIL TO STOP AND IDENTIFY,B,JACKSON AVE & N MAPLE RD,ANN ARBOR,2023-01-16 13:28:00,ACCIDENT - HIT & RUN,-83.78032180099996,42.280520900000056
231000049,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,400 BLOCK S MAIN ST,ANN ARBOR,2023-01-15 10:30:00,LARCENY - FROM AUTO (LFA),-83.74851970099996,42.27725029900006
230002213,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,100 BLOCK E WILLIAM ST,ANN ARBOR,2023-01-17 02:50:00,ASSAULT - SIMPLE,-83.74767819899995,42.27842179900006
231000053,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,500 BLOCK E ANN ST,ANN ARBOR,2023-01-17 00:00:00,LARCENY - FROM AUTO (LFA),-83.74226269899998,42.28208170000005
230002412,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,800 BLOCK BROOKWOOD PLACE,ANN ARBOR,2023-01-18 14:00:00,LARCENY - ALL OTHER,-83.73823930099996,42.26715260000003
231000052,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,2900 BLOCK BRAEBURN CIR,ANN ARBOR,2023-01-14 22:45:00,LARCENY - FROM AUTO (LFA),-83.70937319999996,42.234425299000065
230002396,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,300 BLOCK S FIFTH AVE,ANN ARBOR,2023-01-18 12:49:00,BURGLARY - RESIDENTIAL,-83.74587270099994,42.27917190100004
230002305,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,300 BLOCK S FIFTH AVE,ANN ARBOR,2023-01-17 18:42:30,LARCENY - ALL OTHER,-83.74639409899999,42.27832870100008
230002317,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK S FIFTH AVE,ANN ARBOR,2023-01-17 21:41:00,PUBLIC PEACE,-83.74639409899999,42.27832870100008
230002374,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,1200 BLOCK HILL ST,ANN ARBOR,2023-01-17 22:45:00,LARCENY - ALL OTHER,-83.73416180099997,42.27235140000005
230001574,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3100 BLOCK HOMESTEAD COMMONS DR,ANN ARBOR,2023-01-12 17:42:00,ASSAULT - SIMPLE,-83.71640649999995,42.24268180000007
230002283,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,300 BLOCK E HURON ST,ANN ARBOR,2023-01-17 15:45:00,OBSTRUCTING JUSTICE,-83.74572750099998,42.28182970000006
230002383,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,400 BLOCK KELLOGG ST,ANN ARBOR,2023-01-18 11:11:00,LARCENY - FROM AUTO (LFA),-83.74300349999999,42.293270601000074
230002347,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,N MAIN ST & E HURON ST,ANN ARBOR,2023-01-18 06:47:30,LARCENY - FROM AUTO (LFA),-83.74850689899995,42.28141850000003
230002399,ALL OTHER,7385,NUISANCE ORD - ILLEGAL DUMPING,B,300 BLOCK S MAIN ST,ANN ARBOR,2023-01-18 00:00:00,OTHER - ORDINANCE VIOLATIONS,-83.74844799899995,42.278402001000075
230002490,POCKETPICKING,2301,LARCENY - POCKET PICKING,A,400 BLOCK S MAPLE RD,ANN ARBOR,2023-01-18 21:43:00,LARCENY - ALL OTHER,-83.78214749999995,42.277596800000026
231000056,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,900 BLOCK OAKLAND AVE,ANN ARBOR,2023-01-18 02:30:00,LARCENY - FROM AUTO (LFA),-83.73849849899995,42.27034680000003
230002172,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2700 BLOCK PACKARD RD,ANN ARBOR,2023-01-16 17:29:00,ASSAULT - SIMPLE,-83.71347919999994,42.24281140000005
231000051,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,3600 BLOCK PARTRIDGE PATH,ANN ARBOR,2023-01-17 02:15:00,LARCENY - FROM AUTO (LFA),-83.72253619999998,42.23288210000004
231000055,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,3600 BLOCK PARTRIDGE PATH,ANN ARBOR,2023-01-17 12:23:30,LARCENY - ALL OTHER,-83.72322400099995,42.23335959900004
230002343,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,1000 BLOCK ROSEWOOD ST,ANN ARBOR,2023-01-18 03:53:00,LARCENY - FROM AUTO (LFA),-83.73390819999997,42.25467909900004
230002343,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1000 BLOCK ROSEWOOD ST,ANN ARBOR,2023-01-18 03:53:00,LARCENY - FROM AUTO (LFA),-83.73390819999997,42.25467909900004
230002290,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,3000 BLOCK SIGNATURE BLVD,ANN ARBOR,2023-01-17 16:47:00,OBSTRUCTING JUSTICE,-83.75618449899997,42.241499599000065
230002398,ALL OTHER,7385,NUISANCE ORD - ILLEGAL DUMPING,B,300 BLOCK S STATE ST,ANN ARBOR,2023-01-18 00:00:00,OTHER - ORDINANCE VIOLATIONS,-83.74077919999996,42.27849220000007
230002353,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,1000 BLOCK E UNIVERSITY AVE,ANN ARBOR,2023-01-17 23:00:00,MOTOR VEHICLE THEFT / FRAUD,-83.73537109999995,42.26932490100006
230002363,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,100 BLOCK E WASHINGTON ST,ANN ARBOR,2023-01-18 01:00:00,LARCENY - FROM AUTO (LFA),-83.74765810099996,42.28073990000007
230001701,ALL OTHER LARCENY,2310,LARCENY - FROM MAILS,A,400 BLOCK E WASHINGTON ST,ANN ARBOR,2023-01-13 15:04:00,LARCENY - ALL OTHER,-83.74292030099997,42.28060160000007
230002603,INTIMIDATION,1380,"TELEPHONE USED FOR HARASSMENT, THREATS",A,1200 BLOCK ASTOR AVE,ANN ARBOR,2023-01-19 15:41:00,INTIMIDATION / STALKING,-83.73365189999998,42.256733300000064
230002534,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK N DIVISION ST,ANN ARBOR,2023-01-19 08:01:00,ASSAULT - SIMPLE,-83.74311340099996,42.28341299900006
231000058,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK DETROIT ST,ANN ARBOR,2023-01-19 12:00:30,LARCENY - ALL OTHER,-83.74537479899999,42.28443760000005
230002511,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,0 BLOCK FAUST CT,ANN ARBOR,2023-01-19 01:06:00,INTIMIDATION / STALKING,-83.71434209999995,42.23696750100004
230002484,DRUG/NARCOTIC VIOLATIONS,3598,"NARCOTIC DRUGS, FRAUDULENT PROCUREMENT OF",A,LA SALLE DR & PACKARD RD,ANN ARBOR,2023-01-18 20:29:00,DRUG OFFENSES,-83.69590119999998,42.24513200000007
230002484,DRUG/NARCOTIC VIOLATIONS,3599,DANGEROUS DRUGS (OTHER),A,LA SALLE DR & PACKARD RD,ANN ARBOR,2023-01-18 20:29:00,DRUG OFFENSES,-83.69590119999998,42.24513200000007
230002565,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,900 BLOCK N MAIN ST,ANN ARBOR,2023-01-18 04:35:00,LARCENY - FROM AUTO (LFA),-83.74751159899995,42.28932880100007
230001707,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2500 BLOCK N MAPLE RD,ANN ARBOR,2023-01-13 13:00:00,ASSAULT - SIMPLE,-83.78131579999996,42.30716989900003
230002517,AGGRAVATED ASSAULT,1302,AGG/FEL ASSAULT - FAMILY - OTHER WEAPON-DOMESTIC,A,1200 BLOCK S STATE ST,ANN ARBOR,2023-01-19 03:24:00,ASSAULT - AGGRAVATED,-83.74026599899997,42.267166700000075
230002593,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,1600 BLOCK TIMBER TRL,ANN ARBOR,2023-01-18 10:30:00,FRAUD,-83.76947759899997,42.304117500000075
230001891,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,1100 BLOCK S UNIVERSITY AVE,ANN ARBOR,2023-01-14 20:12:00,PUBLIC PEACE,-83.73481939999994,42.274759000000074
230002608,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,600 BLOCK E UNIVERSITY AVE,ANN ARBOR,2023-01-19 16:00:00,FRAUD,-83.73543639999997,42.27421030000005
230001557,AGGRAVATED ASSAULT,1304,AGG/FEL ASSAULT - NON-FAMILY - GUN,A,E WILLIAM ST & S FOURTH AVE,ANN ARBOR,2023-01-12 15:52:00,ASSAULT - AGGRAVATED,-83.74476339999995,42.27784100000008
230002418,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,500 BLOCK E WILLIAMS ST,ANN ARBOR,2023-01-16 23:30:00,FRAUD,-83.74236649999995,42.27800250000007
230002679,ALL OTHER,4801,RESISTING OFFICER,B,2700 BLOCK HIKONE RD,ANN ARBOR,2023-01-19 22:48:00,OBSTRUCTING POLICE,-83.71032399999996,42.24325250000004
230002679,ALL OTHER,5005,"CONTEMPT OF COURT (PPO VIOLATION, ETC)",B,2700 BLOCK HIKONE RD,ANN ARBOR,2023-01-19 22:48:00,OBSTRUCTING JUSTICE,-83.71032399999996,42.24325250000004
230002679,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,2700 BLOCK HIKONE RD,ANN ARBOR,2023-01-19 22:48:00,OBSTRUCTING JUSTICE,-83.71032399999996,42.24325250000004
230002634,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,600 BLOCK LIBERTY PL,ANN ARBOR,2023-01-19 14:31:00,FRAUD,-83.74104280099994,42.279507100000046
230001839,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,3300 BLOCK WASHTENAW AVE,ANN ARBOR,2023-01-13 10:01:00,FRAUD,-83.69209559999996,42.256641699000056
230001839,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,3300 BLOCK WASHTENAW AVE,ANN ARBOR,2023-01-13 10:01:00,FRAUD,-83.69209559999996,42.256641699000056
230002688,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,S MAIN ST & E WILLIAM ST,ANN ARBOR,2023-01-20 01:10:00,OBSTRUCTING JUSTICE,-83.74476339999995,42.27784100000008
230002582,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2100 BLOCK HEMLOCK DR,ANN ARBOR,2023-01-19 13:03:00,ASSAULT - SIMPLE,-83.71009570099994,42.233317699000054
230002772,EMBEZZLEMENT,2701,EMBEZZLEMENT - BUSINESS PROPERTY,A,3500 BLOCK WASHTENAW AVE,ANN ARBOR,2023-01-18 14:35:00,EMBEZZLEMENT,-83.71001159899998,42.25999070000006
230002910,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,100 BLOCK S FIRST ST,ANN ARBOR,2023-01-20 00:30:00,LARCENY - ALL OTHER,-83.75124580099998,42.28132510000006
230002826,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,47600 BLOCK GRAND RIVER AVE,ANN ARBOR,2023-01-20 21:23:00,OBSTRUCTING JUSTICE,-83.52097179899994,42.488459000000034
230003079,EXTORTION/BLACKMAIL,2103,EXTORTION - THREAT TO INJURE REPUTATION,A,1200 BLOCK S SEVENTH ST,ANN ARBOR,2023-01-22 11:00:00,EXTORTION - BLACKMAIL,-83.75798170099995,42.26605500100004
230002833,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,2300 BLOCK PITTSFIELD BLVD,ANN ARBOR,2023-01-20 21:40:00,PUBLIC PEACE,-83.69194819899997,42.253170399000055
230002751,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,800 BLOCK STIMSON ST,ANN ARBOR,2023-01-20 11:55:00,FRAUD,-83.73815459999997,42.26083550100003
230002899,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1100 BLOCK MARTIN PL,ANN ARBOR,2023-01-21 05:35:00,LARCENY - ALL OTHER,-83.72875460099993,42.26805250000007
230002763,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,1000 BLOCK W EISENHOWER PKWY,ANN ARBOR,2023-01-20 11:58:30,LARCENY - FROM AUTO (LFA),-83.76060779999995,42.246843899000055
230002974,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,500 BLOCK E LIBERTY ST,ANN ARBOR,2023-01-21 23:10:00,ASSAULT - SIMPLE,-83.74242339999995,42.27918740000007
230003066,WEAPON LAW VIOLATIONS,5299,WEAPONS OFFENSE (OTHER),A,ABBOTT AVE & S MAPLE RD,ANN ARBOR,2023-01-22 12:35:00,WEAPONS OFFENSE,-83.78025809899998,42.27947810000006
230002828,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-20 14:15:00,LARCENY - ALL OTHER,-83.75166069999995,42.28180800000007
230002758,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,300 BLOCK N DIVISION ST,ANN ARBOR,2023-01-20 11:00:00,LARCENY - ALL OTHER,-83.74311340099996,42.28341299900006
230002746,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,3200 BLOCK BLUETT DR,ANN ARBOR,2023-01-20 04:30:00,FRAUD,-83.69369509999996,42.31113820100006
230002102,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,3200 BLOCK BRACKLEY DR,ANN ARBOR,2023-01-15 01:45:00,LARCENY - FROM AUTO (LFA),-83.70979440099995,42.31896800000004
230002962,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,400 BLOCK S FIRST ST,ANN ARBOR,2023-01-21 22:12:00,ASSAULT - AGGRAVATED,-83.75139259999997,42.276976200000036
230002951,AGGRAVATED ASSAULT,1302,AGG/FEL ASSAULT - FAMILY - OTHER WEAPON-DOMESTIC,A,300 BLOCK W HURON ST,ANN ARBOR,2023-01-21 20:06:00,ASSAULT - AGGRAVATED,-83.75166069999995,42.28180800000007
230002951,ALL OTHER,4801,RESISTING OFFICER,B,300 BLOCK W HURON ST,ANN ARBOR,2023-01-21 20:06:00,OBSTRUCTING POLICE,-83.75166069999995,42.28180800000007
